NomeProduto,Categoria,Preco
Vitamina C 1000mg,Vitaminas,67.58
Colírio,Remédios,86.14
Fraldas Descartáveis,Perfumaria,41.57
Termômetro Digital,Perfumaria,17.81
Inalador,Remédios,26.21
Suplemento de Cálcio,Vitaminas,8.84
Antifúngico,Remédios,12.61
Antialérgico,Remédios,27.19
Antiácido,Remédios,18.38
Compressa Fria,Perfumaria,38.14
Suplemento de Magnésio,Vitaminas,17.31
Creme para as Mãos,Perfumaria,67.57
Gaze Esterilizada,Perfumaria,88.55
Pomada para Assaduras,Perfumaria,44.61
Suplemento de Ômega 3,Vitaminas,54.61
Inalador,Remédios,52.03
Roupas de Compressão,Perfumaria,13.88
Vitamina C 1000mg,Vitaminas,67.49
Aspirina 500mg,Remédios,74.08
Paracetamol 500mg,Remédios,21.13
Pasta de Dente,Perfumaria,30.09
Soro Fisiológico,Remédios,52.0
Pomada para Artrose,Remédios,45.62
Pomada para Artrose,Remédios,45.65
Inalador,Remédios,95.16
Aspirina 500mg,Remédios,31.83
Colírio,Remédios,36.66
Anti-inflamatório,Remédios,67.45
Xarope para Tosse,Remédios,14.56
Suplemento de Vitamina D,Vitaminas,76.11
Anti-inflamatório,Remédios,79.68
Gel Antisséptico,Perfumaria,83.01
Anti-inflamatório,Remédios,5.1
Cotonetes,Perfumaria,79.81
Escova de Cabelo,Perfumaria,55.96
Suplemento de Magnésio,Vitaminas,86.14
Colírio,Remédios,70.43
Vitamina C 1000mg,Vitaminas,88.28
Gel Antisséptico,Perfumaria,20.72
Antiácido,Remédios,81.8
Antiácido,Remédios,64.04
Fita Adesiva,Perfumaria,46.44
Pasta de Dente,Perfumaria,95.35
Ibuprofeno 200mg,Remédios,85.32
Suplemento de Ômega 3,Vitaminas,9.96
Ibuprofeno 200mg,Remédios,59.1
Suplemento de Ômega 3,Vitaminas,50.48
Antifúngico,Remédios,98.0
Escova de Cabelo,Perfumaria,41.75
Vitamina C 1000mg,Vitaminas,14.74
Creme para as Mãos,Perfumaria,31.88
Protetor Labial,Perfumaria,10.65
Pomada para Assaduras,Perfumaria,27.93
Compressa Fria,Perfumaria,17.97
Creme Anti-idade,Perfumaria,63.69
Cotonetes,Perfumaria,80.45
Antifúngico,Remédios,53.88
Suplemento de Cálcio,Vitaminas,73.77
Fraldas Descartáveis,Perfumaria,74.43
Gaze Esterilizada,Perfumaria,18.49
Suplemento de Cálcio,Vitaminas,16.67
Colírio,Remédios,52.73
Creme para as Mãos,Perfumaria,91.59
Anti-inflamatório,Remédios,23.22
Pomada para Assaduras,Perfumaria,33.73
Desodorante,Perfumaria,41.12
